id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
2048,Masalah itu membuatnya seperti banteng ketaton.,1.0,banteng ketaton,netral,mengamuk,netral,netral,marah
2049,"Dalam situasi itu, dia hanya diam seribu bahasa tanpa komentar.",1.0,diam seribu bahasa,netral,diam,netral,netral,netral
2050,Dia tetap tenang meski hatinya panas membara.,1.0,panas membara,netral,marah,netral,netral,netral
2051,"Dalam konflik itu, dia hanya menjadi orang kepercayaan sementara.",1.0,orang kepercayaan,netral,dipercaya,netral,netral,netral
2052,"Tanpa pengalaman, dia seperti masuk kandang harimau.",1.0,masuk kandang harimau,netral,bahaya,netral,netral,netral
2053,Masalah itu membuatnya seperti jatuh tertimpa tangga.,1.0,jatuh tertimpa tangga,netral,tertimpa musibah,netral,netral,netral
2054,"Dalam situasi itu, dia seperti bertepuk sebelah tangan.",1.0,bertepuk sebelah tangan,netral,tidak terbalas,netral,netral,netral
2055,Dia terus bekerja meski hidupnya seperti gali lubang tutup lubang.,1.0,gali lubang tutup lubang,netral,hutang terus,netral,netral,netral
2056,"Dalam konflik itu, dia seperti lempar batu sembunyi tangan.",1.0,lempar batu sembunyi tangan,netral,tidak bertanggung jawab,netral,netral,netral
2057,"Tanpa disadari, dia menjadi besar kepala karena pujian.",1.0,besar kepala,netral,sombong,netral,netral,netral
2058,"Dalam kondisi itu, dia tetap kecil hati menghadapi masalah.",1.0,kecil hati,netral,minder,netral,sedih,netral
2059,Dia dikenal sebagai panjang tangan di lingkungan tersebut.,1.0,panjang tangan,netral,suka mencuri,netral,netral,netral
2060,Rapat itu berakhir tanpa hasil karena semua pihak saling lempar batu sembunyi tangan.,1.0,lempar batu sembunyi tangan,netral,tidak bertanggung jawab,netral,netral,netral
2061,"Dalam bisnis, jangan sampai besar pasak daripada tiang.",1.0,besar pasak daripada tiang,netral,pengeluaran lebih besar,netral,netral,netral
2062,Sikapnya seperti kacang lupa kulit setelah sukses.,1.0,kacang lupa kulit,netral,lupa asal,netral,netral,marah
2063,Dia hanya ikut arus tanpa pendirian yang jelas.,1.0,ikut arus,netral,tidak punya prinsip,netral,netral,netral
2064,Proyek itu akhirnya tinggal nama karena tidak dilanjutkan.,1.0,tinggal nama,netral,tidak berlanjut,netral,netral,netral
2065,Perusahaan itu sudah gulung tikar sejak tahun lalu.,1.0,gulung tikar,netral,bangkrut,netral,sedih,netral
2066,Jangan sampai masalah kecil jadi api dalam sekam.,1.0,api dalam sekam,netral,bahaya tersembunyi,netral,netral,netral
2067,Dia dikenal sebagai tangan besi dalam memimpin tim.,1.0,tangan besi,netral,otoriter,netral,netral,netral
2068,Hubungan mereka semakin renggang seperti benang kusut.,1.0,benang kusut,netral,masalah rumit,netral,netral,netral
2069,Banyak orang menjadi korban karena praktik tikus kantor.,1.0,tikus kantor,netral,koruptor,netral,netral,netral
2070,Kesempatan itu datang seperti durian runtuh.,1.0,durian runtuh,netral,rezeki tak terduga,netral,netral,netral
2071,"Dalam situasi genting, keputusan diambil dengan tangan dingin.",1.0,tangan dingin,netral,tenang dan ahli,netral,netral,netral
2072,Jangan sampai usaha ini mati suri di tengah jalan.,1.0,mati suri,netral,tidak berkembang,netral,netral,netral
2073,Dia terus berusaha walau sering jatuh bangun.,1.0,jatuh bangun,netral,banyak kesulitan,netral,netral,netral
2074,Perkataan itu hanya angin lalu bagi mereka.,1.0,angin lalu,netral,tidak dianggap,netral,netral,netral
2075,Ia dikenal sebagai si kutu loncat dalam dunia kerja.,1.0,kutu loncat,netral,sering pindah kerja,netral,netral,netral
2076,"Dalam debat itu, dia selalu memutar balik fakta.",1.0,memutar balik fakta,netral,memanipulasi,netral,netral,netral
2077,Banyak orang merasa hidupnya jalan di tempat.,1.0,jalan di tempat,netral,tidak berkembang,netral,netral,netral
2078,Jangan sampai usaha ini hanya jadi mimpi di siang bolong.,1.0,mimpi di siang bolong,netral,khayalan,netral,netral,netral
2079,Dia harus menanggung akibat karena bermain api.,1.0,bermain api,netral,berbahaya,netral,netral,netral
2080,Masalah itu sudah masuk tahap titik nadir.,1.0,titik nadir,netral,kondisi terburuk,netral,netral,netral
2081,Dia selalu mencari celah untuk menghindari tanggung jawab.,1.0,mencari celah,netral,mencari kesempatan,netral,netral,netral
2082,Hubungan mereka semakin dingin seperti es.,1.0,dingin seperti es,netral,tidak akrab,netral,netral,netral
2083,Banyak pihak hanya jadi penonton dalam konflik ini.,1.0,jadi penonton,netral,tidak terlibat,netral,netral,netral
2084,Dia mencoba meniti karier dari nol hingga sukses.,1.0,dari nol,netral,mulai awal,netral,netral,netral
2085,Sikapnya sering berubah seperti bunglon.,1.0,seperti bunglon,netral,tidak konsisten,netral,netral,netral
2086,"Dalam dunia kerja, dia dikenal sebagai serba bisa.",1.0,serba bisa,netral,mampu banyak hal,netral,netral,netral
2087,Banyak orang merasa hidupnya terombang-ambing tanpa arah.,1.0,terombang-ambing,netral,tidak stabil,netral,netral,netral
2088,Kesalahan kecil bisa jadi bola salju jika tidak ditangani.,1.0,bola salju,netral,masalah membesar,netral,netral,netral
2089,rani selalu membawa buah tangan setiap kali ia pulang kampung,1.0,buah tangan,netral,oleh-oleh,netral,netral,netral
2090,"Dalam kondisi sulit, mereka tetap teguh seperti batu karang.",1.0,batu karang,netral,kuat,netral,netral,netral
2091,Banyak orang terjebak dalam lingkaran setan kemiskinan.,1.0,lingkaran setan,netral,masalah berulang,netral,netral,netral
2092,Sikapnya sering seperti api dan air dengan rekannya.,1.0,api dan air,netral,tidak cocok,netral,netral,netral
2093,Dia selalu cepat naik daun setelah viral.,1.0,naik daun,netral,populer,netral,netral,takut
2094,Perusahaan itu sedang berada di ujung tanduk.,1.0,ujung tanduk,netral,genting,netral,netral,netral
2095,"Dalam situasi itu, dia harus memilih jalan terjal.",1.0,jalan terjal,netral,sulit,netral,netral,netral
2096,Banyak orang merasa hidupnya seperti roda berputar.,1.0,roda berputar,netral,naik turun,netral,netral,marah
2097,Dika sering menjadi bulan-bulanan oleh teman-temannya karena jarang mandi,1.0,bulan-bulanan,netral,sasaran ejekan,netral,netral,netral
2098,"Dalam proyek itu, dia menjadi ujung tombak tim.",1.0,ujung tombak,netral,peran utama,netral,sedih,netral
2099,Banyak orang hanya bisa melihat dari balik layar.,1.0,balik layar,netral,di belakang,netral,netral,netral
2100,Dia berusaha keras agar tidak tenggelam dalam masalah.,1.0,tenggelam dalam masalah,netral,terjebak,netral,netral,netral
2101,Dia membuat banyak orang menjadi boneka untuk kebutuhannya sendiri.,1.0,boneka,netral,tidak punya kendali,netral,netral,percaya
2102,Mereka berusaha keluar dari bayang-bayang masa lalu.,1.0,bayang-bayang masa lalu,netral,masa lalu,netral,netral,netral
2103,Banyak orang merasa hidupnya seperti benang kusut.,1.0,benang kusut,netral,rumit,netral,netral,netral
2104,Dia mencoba membuka lembaran baru setelah kegagalan.,1.0,lembaran baru,netral,hidup baru,netral,netral,netral
2105,Banyak orang merasa hidupnya seperti tanpa arah tujuan.,1.0,tanpa arah,netral,tidak jelas,netral,netral,sedih
2106,"Dalam situasi itu, dia seperti tangan kosong tanpa bantuan.",1.0,tangan kosong,netral,tanpa hasil,netral,netral,takut
2107,Dia tetap berusaha meski sering jatuh bangun dalam hidup.,1.0,jatuh bangun,netral,kesulitan,netral,netral,netral
2108,"Dalam konflik itu, dia mencoba mencari jalan tengah terbaik.",1.0,jalan tengah,netral,solusi,netral,netral,netral
2109,Masalah itu membuatnya harus putar otak mencari solusi.,1.0,putar otak,netral,berpikir keras,netral,netral,netral
2110,Dia tetap rendah hati meskipun sudah sukses besar.,1.0,rendah hati,netral,tidak sombong,netral,netral,netral
2111,Hana terbiasa dijadikan pion kecil oleh teman dekatnya.,1.0,pion kecil,netral,tidak penting,netral,netral,marah
2112,Masalah itu membuatnya serba salah dalam bertindak.,1.0,serba salah,netral,bingung,netral,netral,netral
2113,"Dalam kondisi itu, dia harus mengambil risiko besar.",1.0,mengambil risiko,netral,berani,netral,netral,netral
2114,Dia tetap percaya diri menghadapi berbagai tantangan.,1.0,percaya diri,netral,yakin,netral,netral,netral
2115,"Dalam konflik itu, dia tetap sabar menghadapi tekanan.",1.0,tetap sabar,netral,tenang,netral,netral,netral
2116,Masalah itu membuatnya kehilangan arah dalam hidup.,1.0,kehilangan arah,netral,bingung,netral,netral,netral
2117,"Dalam kondisi sulit, dia tetap optimis menghadapi masa depan.",1.0,tetap optimis,netral,yakin,netral,netral,netral
2118,"Dalam konflik itu, dia mencoba membuka mata semua pihak.",1.0,membuka mata,netral,menyadarkan,netral,netral,netral
2119,"Dalam rapat yang memanas itu, beberapa pihak mulai saling lempar batu sembunyi tangan tanpa mau mengakui kesalahan.",1.0,lempar batu sembunyi tangan,netral,tidak bertanggung jawab,netral,netral,netral
2120,"Setelah pengumuman hasil seleksi, hanya kekecewaan yang tersisa hingga banyak peserta harus gigit jari.",1.0,gigit jari,netral,kecewa,netral,netral,netral
2121,"Di balik kesuksesan proyek besar itu, ternyata ada sosok yang selama ini menjadi kambing hitam.",1.0,kambing hitam,netral,disalahkan,netral,netral,netral
2122,"Tanpa arah yang jelas, kebijakan itu seperti berjalan di tempat dan tidak membawa perubahan berarti.",1.0,berjalan di tempat,netral,tidak berkembang,netral,netral,netral
2123,"Dalam tekanan ekonomi yang semakin berat, kondisi perusahaan kini benar-benar di ujung tanduk.",1.0,ujung tanduk,netral,genting,netral,netral,netral
2124,"Di tengah suasana krisis, pemimpin tersebut tetap mampu mengambil keputusan dengan kepala dingin.",1.0,kepala dingin,netral,tenang,netral,netral,netral
2125,"Bagi sebagian orang, kesempatan itu datang begitu saja seperti durian runtuh tanpa diduga sebelumnya.",1.0,durian runtuh,netral,rezeki tak terduga,netral,netral,netral
2126,"Seiring waktu, hubungan kerja itu berubah menjadi dingin seperti es tanpa komunikasi yang baik.",1.0,dingin seperti es,netral,tidak akrab,netral,netral,netral
2127,"Dalam situasi yang penuh konflik, dia justru memilih angkat tangan dan tidak melanjutkan perdebatan.",1.0,angkat tangan,netral,menyerah,netral,netral,netral
2128,Keputusan sepihak itu membuat suasana rapat menjadi panas dingin dan sulit dikendalikan.,1.0,panas dingin,netral,tegang,netral,netral,netral
2129,"Tanpa pengalaman yang cukup, masuk ke dunia bisnis seperti bermain api yang penuh risiko.",1.0,bermain api,netral,berbahaya,netral,netral,netral
2130,"Dalam kondisi yang tidak pasti ini, banyak orang merasa hidupnya seperti terombang-ambing di lautan.",1.0,terombang-ambing,netral,tidak stabil,netral,netral,netral
2131,Sikapnya yang keras kepala membuat diskusi itu berakhir seperti benang kusut yang sulit diurai.,1.0,benang kusut,netral,rumit,netral,netral,netral
2132,"Setelah sekian lama bekerja keras, akhirnya dia tidak lagi harus banting tulang setiap hari.",1.0,banting tulang,netral,kerja keras,netral,netral,netral
2133,"Tanpa perencanaan matang, proyek tersebut bisa berubah menjadi bola salju yang semakin besar masalahnya.",1.0,bola salju,netral,masalah membesar,netral,netral,netral
2134,"Dalam dunia kerja, menjadi anak emas sering kali membawa keuntungan tersendiri.",1.0,anak emas,netral,kesayangan,netral,netral,netral
2135,"Melihat hasil kerja tim lawan, banyak pihak hanya bisa angkat topi karena kualitasnya.",1.0,angkat topi,netral,kagum,netral,netral,netral
2136,"Di tengah tekanan yang tinggi, dia tetap berusaha tidak makan hati atas perlakuan tersebut.",1.0,makan hati,netral,sakit hati,netral,netral,netral
2137,"Tanpa strategi yang jelas, langkah tersebut hanya akan menjadi mimpi di siang bolong.",1.0,mimpi di siang bolong,netral,khayalan,netral,netral,netral
2138,"Dalam proyek besar itu, perannya sebagai tangan kanan manajer sangat menentukan.",1.0,tangan kanan,netral,kepercayaan,netral,netral,netral
2139,"Setelah mengalami kegagalan, dia berusaha bangkit tanpa jatuh ke lubang yang sama.",1.0,jatuh ke lubang yang sama,netral,mengulang kesalahan,netral,netral,netral
2140,"Di balik sikap tenangnya, ternyata dia adalah tipe air tenang menghanyutkan.",1.0,air tenang menghanyutkan,netral,berbahaya diam-diam,netral,netral,netral
2141,"Dalam konflik tersebut, beberapa pihak memilih cuci tangan agar tidak terlibat lebih jauh.",1.0,cuci tangan,netral,lepas tanggung jawab,netral,netral,percaya
2142,"Tanpa dukungan yang cukup, organisasi itu seperti kapal tanpa nahkoda.",1.0,kapal tanpa nahkoda,netral,tanpa arah,netral,netral,netral
2143,Kesuksesan yang diraih tidak membuatnya menjadi kacang lupa kulit.,1.0,kacang lupa kulit,netral,lupa asal,netral,netral,netral
2144,"Dalam suasana persaingan ketat, tim itu muncul sebagai kuda hitam yang mengejutkan.",1.0,kuda hitam,netral,tidak terduga,netral,netral,netral
2145,"Tanpa keberanian mengambil risiko, peluang besar hanya akan berlalu seperti angin lalu.",1.0,angin lalu,netral,tidak dianggap,netral,netral,netral
2146,"Dalam situasi sulit, dia tetap menjadi tulang punggung keluarga yang diandalkan.",1.0,tulang punggung,netral,penopang,netral,netral,netral
2147,Konflik kecil yang diabaikan bisa berkembang menjadi api dalam sekam.,1.0,api dalam sekam,netral,bahaya tersembunyi,netral,senang,netral
2148,"Tanpa pemahaman yang luas, seseorang bisa seperti katak dalam tempurung.",1.0,katak dalam tempurung,netral,sempit wawasan,netral,netral,netral
2149,"Dalam tekanan besar itu, keputusan tetap diambil dengan tangan dingin.",1.0,tangan dingin,netral,tenang,netral,netral,takut
2150,"Setelah kehilangan dukungan, kekuatannya seperti harimau kehilangan taring.",1.0,harimau kehilangan taring,netral,kehilangan kekuatan,netral,netral,netral
2151,"Di tengah situasi yang rumit, dia mencoba mencari jalan keluar terbaik.",1.0,jalan keluar,netral,solusi,netral,netral,netral
2152,"Tanpa kejelasan aturan, banyak pihak menjadi seperti ayam kehilangan induk.",1.0,ayam kehilangan induk,netral,bingung,netral,netral,netral
2153,"Dalam proyek itu, beberapa anggota tim hanya menjadi penonton tanpa kontribusi.",1.0,jadi penonton,netral,tidak terlibat,netral,netral,netral
2154,"Dengan kerja keras dan konsistensi, kariernya kini sedang naik daun.",1.0,naik daun,netral,populer,netral,senang,netral
2155,"Dalam kondisi penuh tekanan, dia tetap berusaha menjaga kepala dingin.",1.0,kepala dingin,netral,tenang,netral,netral,netral
2156,"Tanpa perhitungan matang, keputusan itu seperti bermain api.",1.0,bermain api,netral,berbahaya,netral,netral,netral
2157,"Dalam dunia politik, banyak strategi dilakukan secara lempar batu sembunyi tangan.",1.0,lempar batu sembunyi tangan,netral,tidak jujur,netral,netral,netral
2158,"Tanpa kesadaran diri, seseorang bisa terus berjalan di tempat.",1.0,berjalan di tempat,netral,tidak maju,netral,netral,netral
2159,"Dalam kondisi sulit, dia tetap berusaha tidak angkat tangan.",1.0,angkat tangan,netral,menyerah,netral,percaya,netral
2160,"Tanpa pengawasan ketat, masalah kecil bisa menjadi bola salju.",1.0,bola salju,netral,membesar,netral,netral,netral
2161,"Dalam hubungan kerja, komunikasi buruk membuat suasana dingin seperti es.",1.0,dingin seperti es,netral,tidak akrab,netral,netral,netral
2162,"Tanpa usaha keras, kesuksesan tidak akan datang seperti durian runtuh.",1.0,durian runtuh,netral,rezeki tak terduga,netral,netral,senang
2163,"Dalam situasi itu, dia merasa seperti terombang-ambing tanpa arah.",1.0,terombang-ambing,netral,tidak stabil,netral,netral,netral
2164,"Tanpa pengalaman, dia mudah menjadi kambing hitam.",1.0,kambing hitam,netral,disalahkan,netral,netral,netral
2165,"Dalam tekanan tinggi, dia tetap berusaha tidak makan hati.",1.0,makan hati,netral,sakit hati,netral,netral,sedih
2166,"Tanpa keberanian, peluang itu hanya akan menjadi mimpi di siang bolong.",1.0,mimpi di siang bolong,netral,khayalan,netral,netral,netral
2167,"Tanpa dukungan finansial, usaha kecil itu berada di ujung tanduk selama berbulan-bulan.",1.0,ujung tanduk,netral,genting,netral,netral,netral
2168,"Dalam suasana yang penuh tekanan, keputusan penting tetap diambil dengan kepala dingin.",1.0,kepala dingin,netral,tenang,netral,marah,netral
2169,Kritik keras dari publik membuat manajemen tidak bisa lagi tutup mata.,1.0,tutup mata,netral,mengabaikan,netral,netral,netral
2170,"Setelah kegagalan itu, tim tersebut mencoba bangkit tanpa mengulang jatuh ke lubang yang sama.",1.0,jatuh ke lubang yang sama,netral,mengulang kesalahan,netral,netral,netral
2171,"Dalam situasi tidak pasti, banyak pekerja merasa seperti terombang-ambing tanpa arah jelas.",1.0,terombang-ambing,netral,tidak stabil,netral,netral,netral
2172,Keberhasilan proyek itu membuat semua orang angkat topi terhadap tim tersebut.,1.0,angkat topi,netral,kagum,netral,netral,netral
2173,"Tanpa strategi yang matang, masalah kecil dapat berubah menjadi bola salju.",1.0,bola salju,netral,membesar,netral,netral,netral
2174,"Dalam konflik internal, beberapa anggota memilih cuci tangan dari tanggung jawab.",1.0,cuci tangan,netral,lepas tanggung jawab,netral,netral,takut
2175,Perubahan drastis dalam organisasi membuat banyak karyawan seperti ayam kehilangan induk.,1.0,ayam kehilangan induk,netral,bingung,netral,netral,netral
2176,"Tanpa komunikasi yang baik, hubungan kerja menjadi dingin seperti es.",1.0,dingin seperti es,netral,tidak akrab,netral,netral,netral
2177,"Dalam dunia kerja yang kompetitif, dia dikenal sebagai anak emas pimpinan.",1.0,anak emas,netral,kesayangan,netral,netral,netral
2178,Kegagalan berulang membuatnya hampir angkat tangan dalam mengejar cita-cita.,1.0,angkat tangan,netral,menyerah,netral,netral,netral
